"citation_key","title","year","local_file","source_url","status","file_type","pages","notes"
"Rivasplata2018","PAC-Bayes bounds for stable algorithms with instance-dependent priors",2018,"Rivasplata2018.pdf","https://papers.neurips.cc/paper/8134-pac-bayes-bounds-for-stable-algorithms-with-instance-dependent-priors","downloaded","pdf",11,"NeurIPS proceedings; stability, not domain adaptation"
"Rosenfeld2021","The Risks of Invariant Risk Minimization",2021,"Rosenfeld2021.pdf","https://openreview.net/forum?id=BbNIbVPJ-42","downloaded_preprint","pdf",27,"ICLR/OpenReview mirror"
"Rothenhaeusler2021","Anchor regression: heterogeneous data meet causality",2021,"Rothenhaeusler2021.pdf","https://doi.org/10.1111/rssb.12410","downloaded","pdf",44,"JRSSB article"
"Sagawa2020","Distributionally Robust Neural Networks for Group Shifts",2020,"Sagawa2020.pdf","https://openreview.net/forum?id=ryxGuJrFvS","downloaded_preprint","pdf",19,"ICLR/OpenReview mirror"
"Shui2022","On the benefits of representation regularization in invariance based domain generalization",2022,"Shui2022.pdf","https://doi.org/10.1007/s10994-021-06080-w","downloaded","pdf",21,"Machine Learning article"
"Sinha2018","Certifying Some Distributional Robustness with Principled Adversarial Training",2018,"Sinha2018.pdf","https://arxiv.org/pdf/1710.10571","downloaded_preprint","pdf",49,"ICLR work; arXiv version"
"Sun2016","Deep CORAL: Correlation Alignment for Deep Domain Adaptation",2016,"Sun2016.pdf","https://arxiv.org/pdf/1607.01719","downloaded_preprint","pdf",7,"ECCV Workshops; arXiv version"
"Vapnik1998","Statistical Learning Theory",1998,"","https://www.wiley.com/en-us/Statistical+Learning+Theory-p-9780471030034","not_a_paper","book","","Book citation; no PDF downloaded"
"Wang2024Lost","Lost Domain Generalization Is a Natural Consequence of Lack of Training Domains",2024,"Wang2024Lost.pdf","https://doi.org/10.1609/aaai.v38i14.29497","downloaded","pdf",9,"AAAI proceedings"
"Wang2026TriSpace","Bridging Domain Invariance and Diversity: A Fine-Grained Risk Bound for Domain Generalization",2026,"Wang2026TriSpace.pdf","https://jmlr.org/papers/volume27/25-0399/25-0399.html","downloaded","pdf",54,"JMLR article"
"WangVeitch2022","A Unified Causal View of Domain Invariant Representation Learning",2022,"WangVeitch2022.pdf","https://arxiv.org/pdf/2208.06987v1","downloaded_preprint","pdf",21,"arXiv v1 title; revised v4 title differs"
"Wu2024Multicalibration","Bridging Multicalibration and Out-of-distribution Generalization Beyond Covariate Shift",2024,"Wu2024Multicalibration.pdf","https://doi.org/10.52202/079017-2325","downloaded","pdf",43,"NeurIPS proceedings"
"Zhao2019","On Learning Invariant Representations for Domain Adaptation",2019,"Zhao2019.pdf","https://proceedings.mlr.press/v97/zhao19a.html","downloaded","pdf",10,"ICML/PMLR"
