lambda,method,relative_error,seed,setting
0.01,VREX,1.8554920466535322e-10,1,irrelevant_source_diversity
0.1,VREX,6.253281527662733e-10,1,irrelevant_source_diversity
0.001,L2,0.0010786191346678492,2,declared_source_target_coupled_correlation
0.01,L2,4.601295940671062e-05,2,declared_source_target_coupled_correlation
0.1,L2,7.071419032450999e-07,2,declared_source_target_coupled_correlation
0.001,IRMV1,6.8799297461672205e-06,2,declared_source_target_coupled_correlation
0.01,IRMV1,6.093762458396615e-07,2,declared_source_target_coupled_correlation
0.1,IRMV1,2.2524662358588667e-09,2,declared_source_target_coupled_correlation
0.001,VREX,1.716965521521359e-10,2,declared_source_target_coupled_correlation
0.01,VREX,2.0888938830150288e-10,2,declared_source_target_coupled_correlation
0.1,VREX,2.6915694507437984e-10,2,declared_source_target_coupled_correlation
0.001,L2,0.0010786191346678492,2,mechanism_defined_hidden
0.01,L2,4.601295940671062e-05,2,mechanism_defined_hidden
0.1,L2,7.071419032450999e-07,2,mechanism_defined_hidden
0.001,IRMV1,6.8799297461672205e-06,2,mechanism_defined_hidden
0.01,IRMV1,6.093762458396615e-07,2,mechanism_defined_hidden
0.1,IRMV1,2.2524662358588667e-09,2,mechanism_defined_hidden
0.001,VREX,1.716965521521359e-10,2,mechanism_defined_hidden
0.01,VREX,2.0888938830150288e-10,2,mechanism_defined_hidden
0.1,VREX,2.6915694507437984e-10,2,mechanism_defined_hidden
0.001,L2,0.0010786191346678492,2,mechanism_defined_exposed
0.01,L2,4.601295940671062e-05,2,mechanism_defined_exposed
0.1,L2,7.071419032450999e-07,2,mechanism_defined_exposed
0.001,IRMV1,6.8799297461672205e-06,2,mechanism_defined_exposed
0.01,IRMV1,6.093762458396615e-07,2,mechanism_defined_exposed
0.1,IRMV1,2.2524662358588667e-09,2,mechanism_defined_exposed
0.001,VREX,1.716965521521359e-10,2,mechanism_defined_exposed
0.01,VREX,2.0888938830150288e-10,2,mechanism_defined_exposed
0.1,VREX,2.6915694507437984e-10,2,mechanism_defined_exposed
0.001,L2,0.0010786191346678492,2,irrelevant_source_diversity
0.01,L2,4.601295940671062e-05,2,irrelevant_source_diversity
0.1,L2,7.071419032450999e-07,2,irrelevant_source_diversity
0.001,IRMV1,6.8799297461672205e-06,2,irrelevant_source_diversity
0.01,IRMV1,6.093762458396615e-07,2,irrelevant_source_diversity
0.1,IRMV1,2.2524662358588667e-09,2,irrelevant_source_diversity
0.001,VREX,1.716965521521359e-10,2,irrelevant_source_diversity
0.01,VREX,2.0888938830150288e-10,2,irrelevant_source_diversity
0.1,VREX,2.6915694507437984e-10,2,irrelevant_source_diversity
0.001,L2,0.0006790198442860754,3,declared_source_target_coupled_correlation
0.01,L2,4.018573171768154e-05,3,declared_source_target_coupled_correlation
0.1,L2,6.560394750349775e-07,3,declared_source_target_coupled_correlation
0.001,IRMV1,5.350579447863745e-06,3,declared_source_target_coupled_correlation
0.01,IRMV1,4.92687332309586e-07,3,declared_source_target_coupled_correlation
0.1,IRMV1,2.1399435195277972e-09,3,declared_source_target_coupled_correlation
0.001,VREX,3.1012830861497107e-10,3,declared_source_target_coupled_correlation
0.01,VREX,2.256768039115741e-10,3,declared_source_target_coupled_correlation
0.1,VREX,2.959101464654408e-10,3,declared_source_target_coupled_correlation
0.001,L2,0.0006790198442860754,3,mechanism_defined_hidden
0.01,L2,4.018573171768154e-05,3,mechanism_defined_hidden
0.1,L2,6.560394750349775e-07,3,mechanism_defined_hidden
0.001,IRMV1,5.350579447863745e-06,3,mechanism_defined_hidden
0.01,IRMV1,4.92687332309586e-07,3,mechanism_defined_hidden
0.1,IRMV1,2.1399435195277972e-09,3,mechanism_defined_hidden
0.001,VREX,3.1012830861497107e-10,3,mechanism_defined_hidden
0.01,VREX,2.256768039115741e-10,3,mechanism_defined_hidden
0.1,VREX,2.959101464654408e-10,3,mechanism_defined_hidden
0.001,L2,0.0006790198442860754,3,mechanism_defined_exposed
0.01,L2,4.018573171768154e-05,3,mechanism_defined_exposed
0.1,L2,6.560394750349775e-07,3,mechanism_defined_exposed
0.001,IRMV1,5.350579447863745e-06,3,mechanism_defined_exposed
0.01,IRMV1,4.92687332309586e-07,3,mechanism_defined_exposed
0.1,IRMV1,2.1399435195277972e-09,3,mechanism_defined_exposed
0.001,VREX,3.1012830861497107e-10,3,mechanism_defined_exposed
0.01,VREX,2.256768039115741e-10,3,mechanism_defined_exposed
0.1,VREX,2.959101464654408e-10,3,mechanism_defined_exposed
0.001,L2,0.0006790198442860754,3,irrelevant_source_diversity
0.01,L2,4.018573171768154e-05,3,irrelevant_source_diversity
0.1,L2,6.560394750349775e-07,3,irrelevant_source_diversity
0.001,IRMV1,5.350579447863745e-06,3,irrelevant_source_diversity
0.01,IRMV1,4.92687332309586e-07,3,irrelevant_source_diversity
0.1,IRMV1,2.1399435195277972e-09,3,irrelevant_source_diversity
0.001,VREX,3.1012830861497107e-10,3,irrelevant_source_diversity
0.01,VREX,2.256768039115741e-10,3,irrelevant_source_diversity
0.1,VREX,2.959101464654408e-10,3,irrelevant_source_diversity
0.001,L2,0.0003670700990322457,4,declared_source_target_coupled_correlation
0.01,L2,3.528628997903559e-05,4,declared_source_target_coupled_correlation
0.1,L2,6.837568212784968e-07,4,declared_source_target_coupled_correlation
0.001,IRMV1,7.178148226754548e-06,4,declared_source_target_coupled_correlation
0.01,IRMV1,6.639893719733978e-07,4,declared_source_target_coupled_correlation
0.1,IRMV1,1.224533544295589e-09,4,declared_source_target_coupled_correlation
0.001,VREX,3.751911302603803e-10,4,declared_source_target_coupled_correlation
0.01,VREX,4.164159174558245e-10,4,declared_source_target_coupled_correlation
0.1,VREX,2.5427223408991094e-10,4,declared_source_target_coupled_correlation
0.001,L2,0.0003670700990322457,4,mechanism_defined_hidden
0.01,L2,3.528628997903559e-05,4,mechanism_defined_hidden
0.1,L2,6.837568212784968e-07,4,mechanism_defined_hidden
0.001,IRMV1,7.178148226754548e-06,4,mechanism_defined_hidden
0.01,IRMV1,6.639893719733978e-07,4,mechanism_defined_hidden
0.1,IRMV1,1.224533544295589e-09,4,mechanism_defined_hidden
0.001,VREX,3.751911302603803e-10,4,mechanism_defined_hidden
0.01,VREX,4.164159174558245e-10,4,mechanism_defined_hidden
0.1,VREX,2.5427223408991094e-10,4,mechanism_defined_hidden
0.001,L2,0.0003670700990322457,4,mechanism_defined_exposed
0.01,L2,3.528628997903559e-05,4,mechanism_defined_exposed
0.1,L2,6.837568212784968e-07,4,mechanism_defined_exposed
0.001,IRMV1,7.178148226754548e-06,4,mechanism_defined_exposed
0.01,IRMV1,6.639893719733978e-07,4,mechanism_defined_exposed
0.1,IRMV1,1.224533544295589e-09,4,mechanism_defined_exposed
0.001,VREX,3.751911302603803e-10,4,mechanism_defined_exposed
0.01,VREX,4.164159174558245e-10,4,mechanism_defined_exposed
0.1,VREX,2.5427223408991094e-10,4,mechanism_defined_exposed
0.001,L2,0.0003670700990322457,4,irrelevant_source_diversity
0.01,L2,3.528628997903559e-05,4,irrelevant_source_diversity
0.1,L2,6.837568212784968e-07,4,irrelevant_source_diversity
0.001,IRMV1,7.178148226754548e-06,4,irrelevant_source_diversity
0.01,IRMV1,6.639893719733978e-07,4,irrelevant_source_diversity
0.1,IRMV1,1.224533544295589e-09,4,irrelevant_source_diversity
0.001,VREX,3.751911302603803e-10,4,irrelevant_source_diversity
0.01,VREX,4.164159174558245e-10,4,irrelevant_source_diversity
0.1,VREX,2.5427223408991094e-10,4,irrelevant_source_diversity
